PaperID,NSF_Award_Number,Type,Diff_ZScore,AwardNumber,DOI,DocType,Year,Date,JournalID,ConferenceSeriesID,Citation_Count,C10,Reference_Count,C5,Team_Size,Institution_Count,Disruption,Atyp_10pct_Z,Atyp_Pairs,Atyp_Median_Z,SB_B,SB_T,Patent_Count,Newsfeed_Count,Tweet_Count,NCT_Count,NIH_Count,NSF_Count,WSB_mu,WSB_sigma,WSB_Cinf,JournalTitle,PaperTitle,BookTitle,Publisher,Volume,Issue,FirstPage,LastPage,OriginalVenue,FamilyID,RetractionType
2811137963,NSF-1450032,First,NA,1450032,10.1073/PNAS.1804060115,Journal,2018,6/29/18,125754415,NA,49,NA,48,NA,5,3,-0.001004916,-49.35690344,283,9.336667063,0,0,0,1,0,0,3,1,NA,NA,NA,Proceedings of the National Academy of Sciences of the United States of America,Distribution shapes govern the discovery of predictive models for gene regulation.,,National Academy of Sciences,115,29,7533,7538,Proceedings of the National Academy of Sciences of the United States of America,2811137963,
2824057328,NSF-1068871,Crossref,NA,1068871,10.1007/S10546-018-0372-4,Journal,2018,11/1/18,28534307,NA,5,NA,92,NA,6,2,-0.000282725,-13.97859385,338,94.98756699,4,2,0,0,0,0,0,2,NA,NA,NA,Boundary-Layer Meteorology,Ejective and Sweeping Motions Above a Peatland and Their Role in Relaxed-Eddy-Accumulation Measurements and Turbulent Transport Modelling,,Springer,169,2,163,184,Boundary-Layer Meteorology,NA,
2825497925,NSF-1069138,Crossref,NA,1069138,10.1016/J.RSER.2018.06.055,Journal,2018,10/1/18,68497187,NA,50,NA,57,NA,6,2,-0.003210273,7.024211819,162,266.8544696,-0.05,1,0,0,13,0,0,2,NA,NA,NA,Renewable & Sustainable Energy Reviews,An economic analysis of residential photovoltaic systems with lithium ion battery storage in the United States,,Pergamon,94,NA,1057,1066,Renewable & Sustainable Energy Reviews,NA,
2825970446,NSF-1633587,First,NA,1633587,10.1177/1045389X18781024,Journal,2018,7/10/18,45331193,NA,7,NA,35,NA,4,2,-0.000689519,-22.75907851,236,-1.507404069,0,0,0,0,0,0,0,1,NA,NA,NA,Journal of Intelligent Material Systems and Structures,Analysis of a multi-axial quantum-informed ferroelectric continuum model: Part 2—sensitivity analysis:,,"SAGE PublicationsSage UK: London, England",29,13,2840,2860,Journal of Intelligent Material Systems and Structures,NA,
2828918031,NSF-1425989,First,NA,1425989,10.1175/JCLI-D-18-0170.1,Journal,2018,9/15/18,80591372,NA,27,NA,93,NA,3,1,-0.001107567,10.16791224,313,182.1873199,-0.071428571,1,0,0,9,0,0,2,NA,NA,NA,Journal of Climate,Evolving Relative Importance of the Southern Ocean and North Atlantic in Anthropogenic Ocean Heat Uptake,,American Meteorological Society,31,18,7459,7479,Journal of Climate,NA,
2834226000,NSF-1069104,Crossref,NA,1069104,10.3389/FNINT.2018.00030,Journal,2018,8/3/18,158917573,NA,16,NA,60,NA,2,1,-0.000592307,-1.164869882,677,146.3389921,0.083333333,1,0,0,4,0,1,1,NA,NA,NA,Frontiers in Integrative Neuroscience,Deliberation and Procedural Automation on a Two-Step Task for Rats.,,Frontiers,12,NA,30,30,Frontiers in Integrative Neuroscience,NA,
2834989994,NSF-1545481,First,NA,1545481,10.3758/S13423-018-1508-8,Journal,2019,2/1/19,138679565,NA,8,NA,74,NA,4,3,-0.000102738,-6.217505166,422,155.8651476,0,0,0,0,0,0,0,2,NA,NA,NA,Psychonomic Bulletin & Review,Model-guided search for optimal natural-science-category training exemplars: A work in progress,,Springer US,26,1,48,76,Psychonomic Bulletin & Review,NA,
2838466431,NSF-1450006,Crossref,NA,1450006,10.1093/MNRAS/STY3321,Journal,2019,3/1/19,195663288,NA,5,NA,47,NA,2,1,-9.36E-05,24.28918301,63,612.1138094,0,0,0,0,1,0,0,1,NA,NA,NA,Monthly Notices of the Royal Astronomical Society,Evaluating black hole detectability with LISA,,Oxford University Press (OUP),483,3,3108,3118,Monthly Notices of the Royal Astronomical Society,NA,
2838612557,NSF-1632976,First,NA,1632976,10.1104/PP.18.00086,Journal,2018,7/10/18,42294715,NA,33,NA,75,NA,7,1,-0.000569744,-0.402370465,792,90.94409762,-0.412698413,1,0,0,2,0,0,2,NA,NA,NA,Plant Physiology,Consensus Coexpression Network Analysis Identifies Key Regulators of Flower and Fruit Development in Wild Strawberry,,American Society of Plant Biologists,178,1,202,216,Plant Physiology,NA,
2841654125,NSF-1545403,First,NA,1545403,10.1115/1.4040816,Journal,2018,7/11/18,88457320,NA,13,NA,33,NA,4,2,-0.000186031,-17.1328637,194,-0.38963236,2.5,1,0,0,0,0,0,2,NA,NA,NA,Journal of Mechanical Design,Computational Design of Gradient Paths in Additively Manufactured Functionally Graded Materials,,American Society of Mechanical Engineers,140,11,111410,,Journal of Mechanical Design,NA,
